,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,test_rmse,test_r2
random_forest,28088.45503337558,7687.925601583134,0.8642492547679943,0.06839631696386335,32021.018104175244,0.8593348826262277
elasticnet,29259.407701498585,6744.698873198721,0.8543043951881772,0.06025304347728844,33914.94879957438,0.8422030981314071
ridge,28519.481436316775,6927.714384991704,0.8614698247313741,0.06056034742727007,34010.87678200668,0.8413091828188735
lasso,33350.71666997295,6595.776742892187,0.8089618663871339,0.06900804506407424,35013.73539918527,0.831812764733521
svr,79395.38918417573,4576.406110362367,-0.045876126011731036,0.025349282818251738,86905.1790646426,-0.03611380009617071
xgb,26535.608344969427,8740.679047396157,0.8767136761625085,0.07659520774108837,26159.155564444154,0.9061220533824554
catboost,26138.76380312948,8538.035287407862,0.8803039942779401,0.07376774000968372,28720.559199726016,0.8868376588631861
lgbm,33245.5195284243,6817.812635056662,0.8153547905776533,0.05787174706353655,32435.307071530933,0.8556714766436264
catboost_tuned,25591.38053405597,9001.46012262959,0.883724335082856,0.07868360803473734,27823.085325001397,0.8937994622418552
xgb_tuned,26479.155881284318,9058.92327477194,0.8765438404998426,0.07959362858743876,26398.21334615666,0.9043983892614704
random_forest_tuned,28051.06280171089,7803.904685133968,0.8642524434586367,0.06992212668883392,31985.517596755297,0.8596466100592426
ridge_grid,27889.36619194822,,,,34839.576156976465,0.8334817391007732
elasticnet_tuned,29259.407701498585,6744.698873198721,0.8543043951881772,0.06025304347728844,33914.94879957438,0.8422030981314071
stacking_optuna,25473.777170481055,,,,28042.36039953974,0.8921189229300371
